filename,label
C:/Users/Alex/Desktop/spectrograms\aggression_agression (1)_part1.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (1)_part1_aug333.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (1)_part1_aug393.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (1)_part1_aug657.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (1)_part1_aug729.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (1)_part1_aug839.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (1)_part1_aug984.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (1)_part2.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (1)_part2_aug453.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (1)_part2_aug560.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (1)_part2_aug747.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (10)_part1.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (10)_part1_aug426.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (10)_part1_aug586.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (10)_part1_aug891.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (10)_part1_aug919.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (10)_part2.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (10)_part2_aug994.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (11)_part5.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (11)_part5_aug707.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (12)_part1.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (12)_part1_aug730.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (13)_part1.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (13)_part1_aug329.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (13)_part1_aug725.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (14)_part1.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (14)_part1_aug514.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (14)_part1_aug684.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (14)_part1_aug702.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (15)_part1.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (15)_part1_aug496.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (15)_part1_aug908.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (16)_part1.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (16)_part1_aug617.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (16)_part1_aug855.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (17)_part6.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (17)_part6_aug399.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (17)_part6_aug536.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (17)_part6_aug749.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (17)_part6_aug842.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (18)_part1.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (18)_part1_aug490.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (18)_part2.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (18)_part2_aug297.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (18)_part2_aug475.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (18)_part2_aug706.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (19)_part1.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (19)_part1_aug575.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (19)_part1_aug724.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (19)_part1_aug797.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (19)_part1_aug843.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (2)_part1.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (2)_part1_aug835.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (2)_part2.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (2)_part2_aug440.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (2)_part2_aug665.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (2)_part2_aug979.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (2)_part3.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (2)_part3_aug610.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (2)_part3_aug983.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (2)_part4.png,3
C:/Users/Alex/Desktop/spectrograms\aggression_agression (2)_part4_aug483.png,3
